currentLanguage,Portuguese
operatingSystem,iMac14.1 [Mac OS X 10.13.6]
ipAddress,143.107.45.1
ipCountry,BR
gameVersion,v190227
gameLanguage,pt_br
institution,neuromat
soccerTeam,Doutor
game,JG
playID,CT-0
phase,1
choices,3
showPlayPauseButton,False
pausePlayInputKey,None
sessionTime,24.505580
relaxTime,0.000000
initialPauseTime,0.000000
numOtherPauses,0
otherPausesTime,0.000000
attentionPoint,False
attentionDiameter,0.8
attentionColorStart,#FFF
attentionColorCorrect,#00F
attentionColorWrong,#333
playerMachine,celso.local
gameDate,190510
gameTime,152335
gameRandom,755
playerAlias,e
limitPlays,12
totalCorrect,1
successRate,0.1
gameMode,readTree
status,INTERRUPTED BY USER
playsToRelax,0
scoreboard,True
finalScoreboard,long
animationType,short
showHistory,True
sendMarkersToEEG,none
portEEGserial,COM4
groupCode,G3-D1
leftInputKey,None
centerInputKey,None
rightInputKey,None
speedGKAnim,1.0
keyboardMarker1,0.000000
keyboardMarker2,0.000000
keyboardMarker3,0.000000
keyboardMarker4,0.000000
keyboardMarker5,0.000000
keyboardMarker6,0.000000
keyboardMarker7,0.000000
keyboardMarker8,0.000000
keyboardMarker9,0.000000
keyboardMarker0,0.000000
minHitsInSequence,0
tree, 0;0;1 | 1;0;0 | 2;1;0
sequExecuted,120
move,waitedResult,ehRandom,optionChosen,correct,movementTime,pauseTime,timeRunning
1,1,n,2,false,2.095886,0.000000,2.099335
2,2,n,1,false,0.984894,0.000000,7.671143
3,0,n,0,TRUE,0.934662,0.000000,13.210540
